block,timestamp,amount0,amount1,sqrtPriceX96,liquidity,tick
25587478,1784713703,7415916500,-3860632059752194867,1808141586243489927571991420554958,14458799555991919026,200719
25587481,1784713739,370767499,-193014485614499439,1808140528604992716687460164373986,14458799555991919026,200719
25587484,1784713775,4054347316,-2110601121231550044,1808128963395309287334294492815222,14458799555991919026,200719
25587487,1784713811,-5382312436,2804719500000000000,1808144324398489852754435421301870,14458799555991919026,200719
25587497,1784713931,-1869380290,974144000000000000,1808149659630438120208859211145987,14458799555991919026,200719
25587500,1784713967,-5409885276,2819152347738048291,1808165099680033134124193585561380,14458799555991919026,200719
25587502,1784713991,-82695260360,43097644076290547712,1808322090552289300556440283059851,22370043982742389802,200721
25587503,1784714003,-9951056313,5186605340064326656,1808340450808911568795622010737729,22370043982742389802,200721
25587507,1784714051,-1918583572,1000000000000000000,1808343990746003069288865354584065,22370043982742389802,200721
25587511,1784714099,109488488325,-57003940040929526545,1808122663981879309985101751704992,14458799555991919026,200719
25587512,1784714111,5000000000,-2602831112711037138,1808108401558114704005809058454797,14458799555991919026,200719
25587515,1784714147,-14051786,7322147960302737,1808108441660355982244483922729492,14458799555991919026,200719
25587516,1784714159,45530772494,-23699893996333507630,1807978576172848466079338138790432,14458799555991919026,200717
25587517,1784714171,68380213345,-35587198285964321487,1807783573239284781066868775394407,14458799555991919026,200715
25587517,1784714171,227727,-118503387971035,1807783572589935874589412739114641,14458799555991919026,200715
25587519,1784714195,38779663761,-20178736883763334179,1807673001567841799790785779474251,14458799555991919026,200714
25587519,1784714195,-3916681,2039933488058562,1807673012740233476822828141800908,14458799555991919026,200714
25587519,1784714195,22617661079,-11767808147147081510,1807608530082962494875195380051820,14458799555991919026,200713
25587520,1784714207,59476695055,-30941295001062378100,1807438984752504541126818665058877,14458799555991919026,200711
25587521,1784714219,114771320078,-59690566469987266784,1807111906689647776857078746995282,14458909199591759259,200708
25587523,1784714243,4994388984,-2597004306370314512,1807097676302251668094363536227590,14458909199591759259,200708
25587526,1784714279,543621983,-282672476674554010,1807096127387280896060562505299332,14458909199591759259,200708
25587527,1784714291,81000773222,-42113355274181550677,1806865365598156581383198913095238,14458909199591759259,200705
25587537,1784714411,2458030545,-1277793898237303671,1806858363876157238664418382255276,14458909199591759259,200705
25587539,1784714435,83150514547,-43219512763158283673,1806621540853499104326109418728167,14458909199591759259,200702
25587545,1784714507,-22480507413,11695368479466486000,1806685594043161865800835335468838,14458909199591759259,200703
25587545,1784714507,-959255,499065453641323,1806685596776443353454995900735787,14458909199591759259,200703
25587552,1784714591,56541,-29385934224400,1806685596615421969322506774899543,14458909199591759259,200703
25587555,1784714627,42348867,-22010532847518898,1806685476007840208036005990905415,14458909199591759259,200703
25587572,1784714831,-24987788,13000228038518048,1806685547207484210046279119129414,14458909199591759259,200703
25587574,1784714855,-21892005788,11390000000000000000,1806747927955174182290689434581762,14458909199591759259,200704
